 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
62  ;V* HT Lac                          ;LP*;22 05 16.4991120456 +46 44 41.407404108;3.5303    ;6.13     
63  ;HD 211096                          ;PM*;22 13 49.2402464184 +45 26 26.201813100;12.8997   ;5.530    
64  ;V* AR Lac                          ;RS*;22 08 40.8182089680 +45 44 32.107863120;23.5246   ;6.11     
65  ;HD 209993                          ;*  ;22 06 12.2660311968 +45 14 55.273436700;10.7221   ;6.181    
66  ;* 2 Lac                            ;SB*;22 21 01.5473008957 +46 32 11.651206597;5.2687    ;4.540    
67  ;* 5 Lac                            ;s*r;22 29 31.8281552924 +47 42 24.861238614;1.4838    ;4.37     
68  ;* 7 And                            ;PM*;23 12 33.0035121942 +49 24 22.345927341;40.2940   ;4.52     
69  ;* 8 And                            ;V* ;23 17 44.6472657024 +49 00 55.082930904;5.6963    ;4.86     
70  ;* 11 And                           ;PM*;23 19 29.8077401832 +48 37 31.163086704;11.3828   ;5.440    
71  ;HD 221246                          ;*  ;23 30 07.4135665968 +49 07 59.322247896;3.2286    ;6.152    
72  ;* 18 And                           ;*  ;23 39 08.3316539712 +50 28 18.237535608;7.7914    ;5.35     
73  ;HD 222570                          ;*  ;23 41 26.7851881704 +49 30 44.699747112;4.8422    ;6.260    
74  ;HD 743                             ;PM*;00 11 59.0850984672 +48 09 08.631507168;5.2168    ;6.162    
75  ;HD 224870                          ;*  ;00 01 19.2513981456 +49 58 53.604988572;4.1155    ;6.217    
76  ;HD 1279                            ;*  ;00 17 09.0440331312 +47 56 50.661966660;2.8487    ;5.852    
77  ;HD 1601                            ;*  ;00 20 30.9290699232 +48 58 07.080395628;3.0747    ;6.470    
78  ;HD 3574                            ;*  ;00 39 09.8940906336 +49 21 16.517849688;2.1129    ;5.419    
79  ;* omi Cas                          ;Be*;00 44 43.5186007265 +48 17 03.731037403;0.5116    ;4.50     
80  ;* 68 Cas                           ;Pu*;00 44 26.1915514056 +47 51 50.342883408;4.4530    ;5.648    
81  ;HD 5927                            ;*  ;01 01 27.0446667856 +49 32 39.196117319;2.0122    ;6.48     
82  ;HD 5273                            ;V* ;00 55 05.2043429616 +48 40 42.681101412;3.2972    ;6.310    
83  ;* phi And                          ;Be*;01 09 30.12562 +47 14 30.4594          ;4.55      ;4.25     
84  ;* 49 And                           ;*  ;01 30 06.1015103472 +47 00 26.181123984;9.7947    ;5.261    
85  ;HD 7758                            ;*  ;01 18 10.1484160728 +47 25 10.941500244;2.1459    ;6.246    
86  ;V* GY And                          ;a2*;01 38 31.8255225672 +45 23 58.935650100;7.1093    ;6.380    
87  ;HD 10597                           ;*  ;01 44 26.5266628800 +46 08 22.892710560;5.4445    ;6.310    
88  ;HD 10874                           ;PM*;01 47 48.0144682200 +46 13 47.095939740;18.4995   ;6.317    
89  ;HD 10486                           ;PM*;01 43 16.5039312816 +45 19 21.537082092;18.0939   ;6.32     
90  ;HD 13013                           ;*  ;02 08 33.5596902840 +44 27 33.946698168;7.1023    ;6.380    
91  ;* b And                            ;SB*;02 13 13.3221992348 +44 13 53.927938133;5.2634    ;4.826    
92  ;* 12 Per                           ;SB*;02 42 14.9145674304 +40 11 38.221732500;41.7962   ;4.92     
93  ;HD 18339                           ;*  ;02 58 02.3274942936 +38 36 53.734943700;4.0301    ;6.028    
94  ;HD 18552                           ;Be*;03 00 11.8861086336 +38 07 54.197462964;4.4630    ;6.11     
95  ;* pi. Per                          ;*  ;02 58 45.6701619312 +39 39 45.815580720;10.4437   ;4.70     
