 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
1223;HD 103736                          ;PM*;11 56 53.2361279904 +61 32 57.163146360;5.3017    ;6.200    
1224;* 42 UMa                           ;PM*;10 51 23.7214365624 +59 19 12.431462952;12.0199   ;5.562    
1225;* 44 Lyn                           ;LP?;09 46 31.6645744848 +57 07 41.047970484;5.5325    ;5.20     
1226;HD 85945                           ;PM*;09 57 13.6116423888 +57 25 05.538101952;7.4137    ;5.959    
1227;HD 86378                           ;*  ;09 59 51.6871241448 +56 48 42.503398272;6.9448    ;5.485    
1228;HD 83564                           ;*  ;09 41 16.7308965792 +55 51 59.365247004;7.2534    ;6.490    
1229;HD 83886                           ;PM*;09 43 06.9450161064 +54 21 49.323213972;10.1726   ;6.477    
1230;* e UMa                            ;dS*;09 16 11.3270161512 +54 01 18.686385192;27.9081   ;4.805    
1231;* f UMa                            ;PM*;09 08 52.2569720765 +51 36 16.731901694;34.9307   ;4.48     
1232;* 28 Lyn                           ;SB*;08 07 09.9491374488 +43 15 37.293362784;5.9615    ;6.350    
1233;HD 67370                           ;PM*;08 09 23.0526755040 +42 25 50.193861852;5.4311    ;6.255    
1234;HD 137390                          ;*  ;15 24 05.1165890736 +45 16 15.712675392;6.4102    ;6.055    
1235;HD 136751                          ;PM*;15 20 41.6800702416 +44 26 03.759263880;17.6868   ;6.140    
1236;* k Boo                            ;PM*;15 05 25.8344927952 +48 09 03.492761544;12.4848   ;5.577    
1237;HD 133029                          ;a2*;15 00 38.7178984848 +47 16 38.791986348;6.3665    ;6.351    
1238;* i Boo A                          ;PM*;15 03 47.2296400706 +47 39 14.318060796;77.2460   ;5.136    
1239;* i Boo B                          ;SB*;15 03 47.5145615709 +47 39 16.128926807;78.0881   ;6.004    
1240;* 39 Boo A                         ;PM*;14 49 41.2935169920 +48 43 14.900941056;14.6737   ;6.248    
1241;* kap02 Boo                        ;dS*;14 13 29.0076791664 +51 47 23.882850456;20.1530   ;4.50     
1242;* iot Boo                          ;dS*;14 16 09.9297628080 +51 22 02.028703692;33.8856   ;4.75     
1243;HD 125349                          ;*  ;14 17 21.1392608184 +51 18 26.407486908;10.5723   ;6.195    
1244;* tet Boo                          ;PM*;14 25 11.7969501601 +51 51 02.677224089;69.0686   ;4.05     
1245;* 86 UMa                           ;Pu*;13 53 51.0140209224 +53 43 43.235077944;6.8659    ;5.695    
1246;* 84 UMa                           ;a2*;13 46 35.6567876472 +54 25 57.643558644;10.7417   ;5.675    
1247;* zet02 UMa                        ;SB*;13 23 56.3219129760 +54 55 18.513775632;40.2803   ;3.88     
1248;* zet01 UMa                        ;SB*;13 23 55.5422805173 +54 55 31.295579890;40.2133   ;2.220    
1249;* g UMa                            ;** ;13 25 13.5378333 +54 59 16.654781      ;39.91     ;4.010    
1250;* 81 UMa                           ;*  ;13 34 07.3053955512 +55 20 54.364619400;10.83     ;5.588    
1251;* 83 UMa                           ;LP*;13 40 44.2727375839 +54 40 53.886035019;5.5963    ;4.66     
1252;* 78 UMa                           ;** ;13 00 43.69949 +56 21 58.8102          ;39.30     ;4.93     
1253;* 78 UMa A                         ;PM*;13 00 43.6778024832 +56 21 58.874452020;39.4628   ;5.02     
1254;* eps UMa                          ;a2*;12 54 01.7495922 +55 57 35.362645      ;39.51     ;1.77     
1255;* 75 UMa                           ;*  ;12 30 04.2591356712 +58 46 03.989636292;8.2875    ;6.065    
1256;* 74 UMa                           ;PM*;12 29 57.3223215912 +58 24 20.668103172;11.7987   ;5.347    
1257;* 70 UMa                           ;PM*;12 20 50.8828164888 +57 51 50.828622984;5.5613    ;5.524    
1258;* 71 UMa                           ;V* ;12 25 03.2081950656 +56 46 40.181406780;3.8461    ;5.81     
1259;* 68 UMa                           ;*  ;12 11 44.9053264824 +57 03 15.857278164;3.8816    ;6.310    
1260;* del UMa                          ;PM*;12 15 25.5598467041 +57 01 57.421119850;40.3279   ;3.320    
1261;* 66 UMa                           ;*  ;11 55 58.4171473200 +56 35 54.807896544;10.6761   ;5.824    
1262;V* Z UMa                           ;LP*;11 56 30.2260881624 +57 52 17.648864652;3.3873    ;6.20     
1263;HD 101391                          ;*  ;11 40 27.4302004704 +57 58 13.458822204;6.4834    ;6.335    
1264;HD 99859                           ;PM*;11 29 43.5634989960 +56 44 15.266509872;14.4017   ;6.278    
1265;HD 98673                           ;PM*;11 21 49.2888601392 +57 04 29.481890016;11.7409   ;6.440    
1266;* 43 UMa                           ;PM*;10 51 11.0083686912 +56 34 56.126481816;8.927     ;5.661    
1267;* bet UMa                          ;PM*;11 01 50.4797515135 +56 22 56.761138187;38.6031   ;2.37     
1268;* 41 UMa                           ;PM*;10 46 22.4812528104 +57 21 57.286169964;4.6001    ;6.34     
1269;* 37 UMa                           ;PM*;10 35 09.6937360824 +57 04 57.487315116;37.3444   ;5.148    
1270;* 39 UMa                           ;PM*;10 43 43.3264670520 +57 11 57.118841016;8.1053    ;5.782    
1271;HD 89414                           ;*  ;10 20 31.1510007336 +54 13 00.619770216;5.7285    ;6.012    
1272;HD 87141                           ;*  ;10 04 36.3224900520 +53 53 30.171961248;19.4575   ;5.708    
1273;HD 89389                           ;PM*;10 20 14.8063057368 +53 46 45.888252492;31.0727   ;6.453    
1274;* phi UMa                          ;** ;09 52 06.35437 +54 03 51.5962          ;6.41      ;4.557    
1275;* 26 UMa                           ;PM*;09 34 49.4308182562 +52 03 05.325184635;12.3906   ;4.463    
1276;HD 81025                           ;** ;09 24 55.67898 +51 34 26.0255          ;7.74      ;6.368    
1277;* 37 Lyn                           ;PM*;09 20 43.7610493776 +51 15 57.830201856;34.2518   ;6.110    
1278;* tet UMa                          ;PM*;09 32 51.4309337983 +51 40 38.333310508;73.8284   ;3.18     
1279;HD 77601                           ;*  ;09 05 24.0948595656 +48 31 49.136043828;10.0241   ;5.95     
1280;* kap UMa                          ;** ;09 03 37.52762 +47 09 23.4890          ;9.10      ;3.55     
1281;* iot UMa                          ;** ;08 59 12.45362 +48 02 30.5741          ;68.92     ;3.14     
1282;* 34 Lyn                           ;PM*;08 41 01.0699086744 +45 50 02.421127212;17.2289   ;5.359    
1283;HD 73971                           ;PM*;08 43 00.1514570856 +46 54 03.022588800;7.2263    ;6.205    
1284;* 31 Lyn                           ;LP*;08 22 50.1094369374 +43 11 17.270175202;8.8828    ;4.25     
1285;HD 70647                           ;*  ;08 24 42.7761952176 +42 00 18.861574464;3.1911    ;6.001    
1286;* nu.01 Boo                        ;*  ;15 30 55.7595992928 +40 49 58.974269340;3.3492    ;5.026    
1287;* nu.02 Boo                        ;** ;15 31 46.9830456456 +40 53 57.605506908;7.3894    ;4.978    
1288;* phi Boo                          ;PM*;15 37 49.5980578296 +40 21 12.364824816;18.5752   ;5.254    
1289;* mu. CrB                          ;V* ;15 35 14.9186160816 +39 00 36.242707068;4.9176    ;5.11     
1290;HD 135530                          ;V* ;15 14 10.3147163736 +42 10 17.057274240;3.1796    ;6.13     
1291;* h Boo                            ;PM*;14 49 18.6703382808 +46 06 58.334410512;20.8264   ;5.757    
1292;V* CH Boo                          ;LP?;14 34 39.6206842896 +49 22 06.072885660;4.6569    ;5.74     
1293;HD 122866                          ;*  ;14 02 59.7575422632 +50 58 18.506780184;10.3764   ;6.15     
1294;* 13 Boo                           ;LP*;14 08 17.3027518032 +49 27 29.396447352;4.6882    ;5.25     
1295;* 82 UMa                           ;PM*;13 39 30.4479430440 +52 55 16.347483732;19.3489   ;5.456    
1296;HD 118970                          ;*  ;13 39 14.9095251264 +51 48 15.166378764;3.9279    ;6.48     
1297;HD 119765                          ;*  ;13 43 54.7781349768 +52 03 51.888118176;10.7883   ;6.018    
1298;HD 117242                          ;PM*;13 27 59.6290628880 +52 44 44.117845836;9.9058    ;6.345    
1299;* 73 UMa                           ;*  ;12 27 35.1030044376 +55 42 45.804196800;7.7807    ;5.70     
1300;* 1 CVn                            ;*  ;12 14 43.4102760960 +53 26 04.656264072;6.6031    ;6.171    
1301;* gam UMa                          ;Em*;11 53 49.8473166 +53 41 41.135025      ;39.21     ;2.440    
1302;HD 102328                          ;*  ;11 46 55.6222860288 +55 37 41.480416020;14.8962   ;5.254    
1303;HD 99913                           ;SB*;11 30 12.8703025248 +54 21 44.039547072;5.2246    ;6.490    
1304;HD 100615                          ;*  ;11 35 04.8842333280 +54 47 07.434711060;8.0945    ;5.628    
1305;HD 101604                          ;*  ;11 41 43.4969497800 +55 10 19.236084996;3.523     ;6.266    
1306;HD 99283                           ;PM*;11 25 57.1097721312 +55 51 01.648051416;9.1833    ;5.700    
1307;* 44 UMa                           ;PM*;10 53 34.4520785448 +54 35 06.458632728;5.49      ;5.111    
1308;HD 94084                           ;PM*;10 52 32.0584663248 +52 30 12.977362044;9.4165    ;6.430    
1309;HD 92095                           ;PM*;10 39 05.6555964840 +53 40 05.878675740;6.7793    ;5.537    
1310;HD 87243                           ;*  ;10 05 10.3806897312 +52 22 16.727220804;8.9382    ;6.350    
1311;* 31 UMa                           ;*  ;09 55 43.0017957768 +49 49 11.434847736;15.1011   ;5.269    
1312;HD 83869                           ;** ;09 42 43.0941100464 +48 25 51.612099708;7.2541    ;6.370    
1313;HD 79763                           ;SB*;09 17 31.1787692016 +46 49 02.022620988;9.4482    ;5.938    
1314;HD 76291                           ;PM*;08 56 49.9526041968 +45 37 53.925764016;13.3681   ;5.711    
1315;HD 75523                           ;*  ;08 52 11.7683379456 +45 18 46.153139364;6.5548    ;5.956    
1316;* 35 Lyn                           ;*  ;08 51 56.8306264656 +43 43 35.774404464;12.2363   ;5.148    
1317;HD 137071                          ;*  ;15 22 37.3710895176 +39 34 53.261856840;1.3232    ;5.532    
1318;* 33 Boo                           ;PM*;14 38 50.2253006928 +44 24 16.208098092;17.1844   ;5.387    
1319;HD 128902                          ;PM*;14 38 12.5889848520 +43 38 31.658148708;3.495     ;5.721    
1320;* lam Boo                          ;dS*;14 16 23.0184083839 +46 05 17.895459693;32.5885   ;4.18     
1321;HD 125406                          ;*  ;14 17 49.1992313280 +48 00 07.213505832;13.2727   ;6.316    
1322;* eta UMa                          ;PM*;13 47 32.43776 +49 18 47.7602          ;31.38     ;1.86     
1323;HD 117281                          ;PM*;13 28 11.7894993936 +50 35 14.233068024;7.1801    ;6.430    
1324;HD 117361                          ;PM*;13 28 45.8310369648 +50 43 06.864242700;12.8745   ;6.417    
1325;HD 118741                          ;** ;13 37 42.92771 +50 42 53.4288          ;2.30      ;6.450    
1326;HD 119124                          ;PM*;13 40 23.2320964296 +50 31 09.894067644;39.1793   ;6.320    
1327;HD 118536                          ;*  ;13 36 39.8974464216 +49 29 11.938928496;5.7375    ;6.460    
1328;* 24 CVn                           ;PM*;13 34 27.2599342022 +49 00 57.499096964;17.5952   ;4.70     
1329;* 21 CVn                           ;a2*;13 18 14.5095312384 +49 40 55.429204656;11.6984   ;5.15     
1330;HD 106884                          ;PM*;12 17 29.5999526184 +53 11 28.794829092;8.3081    ;5.81     
1331;* 5 CVn                            ;*  ;12 24 01.4942854464 +51 33 44.124636780;8.6643    ;4.761    
1332;HD 101013                          ;SB*;11 37 53.0008333680 +50 37 05.469784824;6.3162    ;6.113    
1333;HD 95057                           ;V* ;10 59 17.8685559240 +51 52 56.548962084;4.2088    ;6.197    
1334;HD 95233                           ;*  ;11 00 25.5551770344 +51 30 07.563590964;5.4149    ;6.390    
1335;* 15 LMi                           ;PM*;09 48 35.3713484808 +46 01 15.626615412;53.1277   ;5.10     
1336;HD 82408                           ;*  ;09 33 11.2472892024 +45 30 49.534927524;6.3885    ;6.47     
1337;HD 80461                           ;*  ;09 21 23.6048367072 +45 22 12.362999376;3.5366    ;6.39     
1338;* 41 Lyn                           ;PM*;09 28 39.9886724904 +45 36 05.331128364;11.8163   ;5.393    
1339;* 36 Lyn                           ;Ro*;09 13 48.2131781112 +43 13 04.193952924;5.2687    ;5.282    
1340;HD 75556                           ;PM*;08 52 10.0249696344 +42 00 09.838626660;6.7796    ;5.984    
1341;* 10 UMa                           ;SB*;09 00 38.4734170729 +41 46 58.888412654;53.3618   ;3.960    
1342;HD 135402                          ;*  ;15 13 35.5814450592 +38 15 52.913227788;7.0888    ;6.187    
1343;* bet Boo                          ;Er*;15 01 56.7623044453 +40 23 26.046853660;13.8780   ;3.52     
1344;* 40 Boo                           ;PM*;14 59 36.9470701872 +39 15 55.196640648;19.6747   ;5.634    
1345;HD 129846                          ;*  ;14 43 44.4335937840 +40 27 33.310334808;5.1824    ;5.73     
1346;V* BY Boo                          ;LP?;14 07 55.7554099635 +43 51 16.028575533;6.0110    ;5.28     
1347;HD 122675                          ;PM*;14 02 12.1889615088 +45 45 12.448713960;6.0578    ;6.269    
1348;HD 116957                          ;*  ;13 26 16.6023316056 +46 01 41.004770628;9.0133    ;5.873    
1349;V* TU CVn                          ;LP*;12 54 56.5204176096 +47 11 48.200441856;4.1725    ;5.84     
1350;* 11 CVn                           ;PM*;12 48 41.8031339664 +48 28 00.625838016;6.8208    ;6.245    
1351;HD 111572                          ;V* ;12 49 38.0356756008 +48 44 24.089092656;6.0183    ;6.495    
1352;* 3 CVn                            ;V* ;12 19 48.7105956312 +48 59 02.926914684;5.1237    ;5.29     
1353;* chi UMa                          ;PM*;11 46 03.0140687528 +47 46 45.855272276;16.4382   ;3.72     
1354;HD 97989                           ;PM*;11 16 41.8501690992 +49 28 34.494987792;7.6791    ;5.873    
1355;HD 89268                           ;PM*;10 18 58.7272103640 +46 45 38.795018652;4.8297    ;6.400    
1356;HD 86166                           ;*  ;09 57 56.8477590168 +45 24 51.491269584;7.7425    ;6.324    
1357;HD 76292                           ;PM*;08 56 30.5155379784 +40 12 05.303194920;13.9204   ;5.880    
1358;HD 77093                           ;** ;09 01 40.7600191248 +39 42 48.644152128;15.2423   ;6.386    
1359;HD 134044                          ;PM*;15 06 35.1452822760 +36 27 21.835581444;33.4086   ;6.351    
1360;* gam Boo                          ;dS*;14 32 04.6716795181 +38 18 29.693088076;37.9125   ;3.02     
1361;HD 125111                          ;PM*;14 16 24.2749599552 +39 44 40.954885440;20.1183   ;6.376    
1362;HD 124755                          ;PM*;14 14 23.5477918920 +41 31 07.531650840;22.2945   ;6.227    
1363;HD 116303                          ;PM*;13 22 03.9227881872 +43 54 12.126308436;7.475     ;6.332    
1364;HD 113847                          ;*  ;13 05 52.2672643344 +45 16 06.788918712;7.6775    ;5.637    
1365;HD 112570                          ;PM*;12 57 07.7956211592 +46 10 36.451968780;9.9479    ;6.110    
1366;V* Y CVn                           ;C* ;12 45 07.8260815656 +45 26 24.926308404;3.2222    ;4.87     
1367;HD 107610                          ;PM*;12 21 56.2500772704 +47 10 55.933085496;9.9779    ;6.325    
1368;* 60 UMa                           ;SB*;11 38 33.5147752944 +46 50 03.170992560;9.1616    ;6.076    
1369;V* ST UMa                          ;LP*;11 27 50.3780355120 +45 11 06.735697980;3.058     ;6.280    
1370;V* EE UMa                          ;SB*;11 30 24.8253385848 +46 39 27.116495100;4.6246    ;6.302    
1371;* psi UMa                          ;PM*;11 09 39.8082958358 +44 29 54.555917043;23.2272   ;3.01     
1372;HD 95212                           ;*  ;11 00 14.7046976592 +45 31 34.586276988;4.2755    ;5.448    
1373;HD 90602                           ;*  ;10 28 36.5196139488 +45 12 43.962753852;4.0348    ;6.357    
1374;* lam UMa                          ;PM*;10 17 05.7792565752 +42 54 51.889698684;14.4594   ;3.45     
1375;* 19 LMi                           ;SB*;09 57 41.0544328704 +41 03 20.274786216;34.5809   ;5.104    
1376;* 42 Lyn                           ;*  ;09 38 21.7763861136 +40 14 23.255977236;25.9788   ;5.276    
1377;HD 82741                           ;*  ;09 35 03.8297521152 +39 37 17.373515520;14.9133   ;4.800    
1378;* 43 Lyn                           ;PM*;09 42 00.3424053576 +39 45 28.270330812;9.0714    ;5.610    
1379;HD 77912                           ;Pe*;09 06 31.7678430456 +38 27 07.970169096;4.6253    ;4.539    
1380;HD 76944                           ;*  ;09 00 30.8016871272 +37 36 15.670728612;2.8017    ;6.200    
1381;* 55 Ari                           ;Pu*;03 09 36.7408138152 +29 04 37.494648444;3.7356    ;5.740    
1382;HD 18928                           ;PM*;03 03 30.1731202080 +28 16 11.698695840;19.0327   ;6.36     
1383;HD 19600                           ;PM*;03 10 08.8395959400 +27 49 11.157358944;6.6054    ;6.412    
1384;HD 19637                           ;PM*;03 10 27.0469499740 +26 53 46.448567945;7.7852    ;6.022    
1385;* 49 Ari                           ;V* ;03 01 54.1412469216 +26 27 44.474551812;14.6587   ;5.909    
1386;* 52 Ari                           ;** ;03 05 26.68819 +25 15 18.6257          ;6.05      ;5.47     
1387;HD 19549                           ;PM*;03 09 20.1328272840 +20 45 40.031370144;6.1912    ;6.40     
1388;* 54 Ari                           ;*  ;03 08 21.1091089872 +18 47 42.188222544;4.4906    ;6.250    
1389;* 53 Ari                           ;bC*;03 07 25.6731510240 +17 52 47.969633820;3.1874    ;6.117    
1390;HD 19080                           ;PM*;03 04 40.6433409888 +15 51 21.682002060;6.2164    ;6.370    
1391;HD 19270                           ;PM*;03 06 23.6869068840 +13 11 14.103331908;10.1711   ;5.635    
1392;HD 19698                           ;*  ;03 10 38.7931409328 +11 52 21.426528036;7.4179    ;5.970    
1393;HD 18700                           ;PM*;03 00 44.1410237616 +10 52 13.410353388;6.2296    ;5.931    
1394;HD 19525                           ;PM*;03 08 38.7917957784 +08 28 15.857723964;8.0217    ;6.273    
1395;* alf Cet                          ;LP?;03 02 16.77307 +04 05 23.0596          ;13.09     ;2.53     
1396;HD 18832                           ;*  ;03 01 52.2956737320 +05 20 10.134675204;9.2398    ;6.243    
1397;* 93 Cet                           ;Pu*;03 02 22.5179568552 +04 21 10.390404240;7.3384    ;5.607    
1398;HD 19121                           ;*  ;03 04 38.0665134630 +01 51 48.974176139;7.5705    ;6.035    
1399;* 7 Eri                            ;LP?;03 00 50.8801290264 -02 52 43.038202440;2.5944    ;6.13     
1400;HD 19349                           ;*  ;03 06 33.4943946528 -06 05 18.779128836;5.6074    ;5.256    
1401;* rho02 Eri                        ;*  ;03 02 42.2880946296 -07 41 07.718204472;12.8933   ;5.336    
1402;* rho03 Eri                        ;PM*;03 04 16.5168842952 -07 36 03.078421848;22.6787   ;5.30     
1403;HD 18894                           ;SB*;03 02 09.2735455608 -06 29 40.318970388;30.4612   ;6.194    
1404;* rho01 Eri                        ;PM*;03 01 10.0261089984 -07 39 46.832800572;10.4216   ;5.750    
1405;HD 19210                           ;PM*;03 05 11.2982966136 -08 16 27.285000564;7.5268    ;6.31     
1406;HD 18885                           ;*  ;03 01 56.1190857192 -09 57 41.053013964;9.6272    ;5.837    
1407;HD 19850                           ;*  ;03 11 05.2834995288 -13 15 51.417739476;3.646     ;6.36     
1408;HD 19826                           ;PM*;03 10 35.3816938080 -23 44 18.647981736;9.5995    ;6.377    
1409;* tau03 Eri                        ;PM*;03 02 23.4993592222 -23 37 28.098204536;36.9502   ;4.09     
1410;HD 19545                           ;PM*;03 07 50.8499336856 -27 49 52.144200912;18.8494   ;6.170    
1411;* eps For                          ;PM*;03 01 37.6288785045 -28 05 29.373792325;31.3128   ;5.85     
1412;HD 20210                           ;SB*;03 16 01.8603052344 +34 41 18.631390992;15.9512   ;6.229    
1413;HD 20468                           ;*  ;03 18 43.8266513449 +34 13 21.553968857;2.8435    ;4.82     
1414;HD 20193                           ;*  ;03 15 47.1416435280 +32 51 24.168623112;18.4211   ;6.304    
1415;V* V573 Per                        ;SB*;03 16 35.1885699576 +32 11 02.507027928;8.6731    ;5.994    
1416;HD 20149                           ;*  ;03 15 20.4397559400 +30 33 24.081414588;6.7649    ;5.610    
1417;HD 20367                           ;PM*;03 17 40.0468295160 +31 07 37.360398072;38.3758   ;6.399    
1418;* 56 Ari                           ;a2*;03 12 14.2461137352 +27 15 25.085668788;7.8671    ;5.76     
1419;HD 20644                           ;*  ;03 20 20.3620712067 +29 02 54.447584385;5.0347    ;4.47     
1420;* 62 Ari                           ;*  ;03 22 11.8934337360 +27 36 27.195404508;4.692     ;5.52     
1421;* 60 Ari                           ;PM*;03 20 25.5679822872 +25 39 45.923859756;9.6938    ;6.127    
1422;* 59 Ari                           ;PM*;03 19 55.7958132408 +27 04 16.068323604;15.4626   ;5.918    
1423;* del Ari                          ;PM*;03 11 37.7665678572 +19 43 36.023197055;19.7731   ;4.37     
1424;* zet Ari                          ;PM*;03 14 54.0983200320 +21 02 40.009229304;11.8942   ;4.869    
1425;* tau01 Ari                        ;EB*;03 21 13.6246249988 +21 08 49.438954890;6.1786    ;5.355    
1426;HD 19789                           ;** ;03 11 21.9189807144 +13 02 52.234169100;8.4809    ;6.090    
1427;V* EL Cet                          ;SB*;03 12 26.3638429056 +06 39 39.188532816;4.1635    ;5.568    
1428;* kap02 Cet                        ;PM*;03 21 06.8031794904 +03 40 32.241331308;8.821     ;5.69     
1429;* kap01 Cet                        ;BY*;03 19 21.6964175772 +03 22 12.714979884;107.8023  ;4.85     
1430;* 94 Cet                           ;PM*;03 12 46.4365677072 -01 11 45.955808988;43.7027   ;5.070    
1431;HD 19836                           ;*  ;03 11 18.7743281688 -03 48 41.747377500;2.8928    ;6.068    
1432;HD 20356                           ;*  ;03 16 21.7233171936 -05 43 49.673021736;2.3415    ;6.31     
1433;HD 20319                           ;** ;03 16 00.85447 -05 55 07.3324          ;4.96      ;6.17     
1434;* zet Eri                          ;SB*;03 15 50.0256861408 -08 49 11.036581032;27.3950   ;4.80     
1435;* 14 Eri                           ;*  ;03 16 35.7455519016 -09 09 16.572121344;26.5644   ;6.143    
1436;HD 19887                           ;*  ;03 11 16.7293052112 -16 01 29.871290388;5.4405    ;6.243    
1437;* tau04 Eri                        ;LP*;03 19 31.0006476952 -21 45 28.315429163;10.6153   ;3.70     
1438;* 15 Eri                           ;** ;03 18 22.1101471484 -22 30 39.975423421;7.0838    ;4.875    
1439;HD 20894                           ;*  ;03 21 24.0048307608 -23 38 06.564343524;8.0143    ;5.496    
1440;V* AI For                          ;LP*;03 19 34.9067028576 -24 07 22.446219504;3.7583    ;5.622    
1441;HD 20980                           ;*  ;03 22 16.2861231576 -25 35 16.097314920;9.0074    ;6.353    
1442;HD 20853                           ;*  ;03 20 45.2036281632 -26 36 23.428639260;20.1522   ;6.404    
1443;HD 20293                           ;*  ;03 15 00.2716225464 -26 06 01.650771864;6.3843    ;6.240    
1444;HD 20606                           ;PM*;03 18 02.5904897256 -28 47 49.431309288;17.0597   ;5.93     
1445;HD 20176                           ;*  ;03 13 37.9455242568 -29 48 14.869002672;8.3224    ;6.162    
1446;HD 20144                           ;*  ;03 13 01.4893731672 -35 56 37.283820540;5.8555    ;6.283    
1447;HD 20995                           ;*  ;03 24 29.7029144064 +33 32 09.347527824;8.9395    ;5.80     
1448;HD 21856                           ;Pu*;03 32 40.0150232424 +35 27 42.207495156;2.4065    ;5.900    
1449;HD 21402                           ;PM*;03 28 20.7005730600 +33 48 27.207327888;9.3697    ;5.730    
1450;V* UX Ari                          ;RS*;03 26 35.3756804760 +28 42 54.226408428;19.7836   ;6.37     
1451;* 64 Ari                           ;PM*;03 24 18.4777925304 +24 43 26.744912580;14.9909   ;5.503    
1452;* 63 Ari                           ;PM*;03 22 45.2413346588 +20 44 31.441872346;9.7639    ;5.13     
1453;* 65 Ari                           ;*  ;03 24 26.1157157688 +20 48 12.565642968;9.6813    ;6.061    
1454;* 66 Ari                           ;** ;03 28 26.5674717744 +22 48 14.433516720;14.1629   ;6.030    
1455;HD 21051                           ;TT*;03 24 10.1286587232 +12 37 46.532952372;6.6027    ;6.046    
1456;* f Tau                            ;SB*;03 30 52.3775767512 +12 56 12.010703172;9.6907    ;4.10     
1457;HD 21379                           ;*  ;03 27 18.6757835904 +12 44 07.019792628;9.5418    ;6.291    
1458;* s Tau                            ;*  ;03 30 24.4687998536 +11 20 11.181854237;8.7470    ;5.124    
1459;* omi Tau                          ;SB*;03 24 48.7983185016 +09 01 43.930632036;15.0788   ;3.600    
1460;* ksi Tau                          ;PM*;03 27 10.1405792544 +09 43 57.871023240;16.7914   ;3.75     
1461;* t Tau                            ;PM*;03 32 35.9433358944 +09 22 24.419939736;8.9915    ;5.757    
1462;HD 21755                           ;*  ;03 30 45.4201544568 +06 11 19.336797492;6.4165    ;5.927    
1463;HD 21585                           ;HB*;03 29 03.8034677328 +03 14 55.338332424;7.1547    ;6.42     
1464;HD 21032                           ;PM*;03 23 36.3053401200 +00 54 36.304021656;8.4195    ;6.472    
1465;* v Eri                            ;*  ;03 30 37.0583178770 -05 04 30.532729396;7.8031    ;4.725    
1466;HD 21019                           ;PM*;03 23 17.7011620632 -07 47 38.755366656;26.7913   ;6.23     
1467;HD 21665                           ;PM*;03 29 39.1373965776 -06 48 16.037171784;8.6949    ;5.988    
1468;* eps Eri                          ;BY*;03 32 55.8444911587 -09 27 29.739493865;310.5773  ;3.73     
1469;HD 21530                           ;RG*;03 28 00.9468319992 -11 17 11.750471916;10.3181   ;5.730    
1470;HD 21688                           ;*  ;03 29 36.0279981768 -12 40 29.048473740;6.9814    ;5.576    
1471;HD 21430                           ;PM*;03 26 22.5248670384 -27 19 02.927198460;7.1792    ;5.933    
1472;HD 21997                           ;PM*;03 31 53.6470102728 -25 36 50.940001116;14.3501   ;6.372    
1473;HD 21149                           ;*  ;03 23 44.6206862928 -32 42 25.514220168;4.5574    ;6.499    
1474;* chi02 For                        ;PM*;03 27 33.4211929032 -35 40 52.772760876;6.8558    ;5.702    
1475;* chi01 For                        ;V* ;03 25 55.8419610696 -35 55 15.187634292;9.6154    ;6.385    
1476;HD 22780                           ;Be*;03 41 07.8571995216 +37 34 48.707896728;5.1404    ;5.57     
1477;HD 23193                           ;PM*;03 44 31.4433279216 +36 27 36.339379956;11.1661   ;5.588    
1478;* o Per                            ;*  ;03 42 22.6459308614 +33 57 54.093701142;2.7034    ;4.972    
1479;* omi Per                          ;SB*;03 44 19.1337687984 +32 17 17.687367960;3.0224    ;3.91     
1480;* 11 Tau                           ;SB*;03 40 46.3097428032 +25 19 46.158526416;5.8067    ;6.102    
1481;* 17 Tau                           ;Be*;03 44 52.5370897890 +24 06 48.016260072;8.3457    ;3.70     
1482;* 16 Tau                           ;V* ;03 44 48.2149362048 +24 17 22.083331452;7.3852    ;5.46     
1483;HD 22615                           ;V* ;03 39 00.0585760560 +20 54 56.784028824;7.8441    ;6.493    
1484;HD 23258                           ;*  ;03 44 28.2037966608 +20 55 43.448620908;12.3772   ;6.074    
1485;* 14 Tau                           ;PM*;03 43 47.2136850864 +19 39 54.125468028;8.3882    ;6.14     
1486;* 13 Tau                           ;Be*;03 42 18.9476782488 +19 42 00.918475956;6.2758    ;5.69     
1487;HD 22072                           ;PM*;03 34 08.3780792889 +17 49 58.182313637;23.8593   ;6.16     
1488;HD 22695                           ;PM*;03 39 25.7534319696 +16 32 12.079026312;8.7619    ;6.168    
1489;HD 22522                           ;*  ;03 37 47.8304727816 +15 25 49.995447492;14.2778   ;6.420    
1490;HD 22211                           ;*  ;03 34 49.0820502384 +06 25 03.700502112;6.9463    ;6.482    
1491;* 12 Tau                           ;*  ;03 39 51.1219367544 +03 03 24.718136616;9.567     ;5.555    
1492;* 10 Tau                           ;PM*;03 36 52.3837044168 +00 24 05.992097829;71.8370   ;4.30     
1493;HD 22468                           ;RS*;03 36 47.2904292073 +00 35 15.943692002;33.9783   ;5.90     
1494;* 25 Eri                           ;PM*;03 44 56.4972471864 -00 17 48.194312640;7.9863    ;5.553    
1495;HD 22819                           ;*  ;03 39 59.5691719224 -01 07 16.407404616;8.0315    ;6.123    
1496;* 24 Eri                           ;*  ;03 44 30.5105062824 -01 09 47.127478680;4.6032    ;5.25     
